"Name"
".jdks"
"7-Zip"
"Anki"
"Baidu Yunpan"
"Blackmagic Design"
"Blender Foundation"
"Blish.HUD.1.1.1"
"Calibre2"
"CapCut Drafts"
"Captura"
"Clash-Windows-0.20.6-win"
"CLion 2024.2.1"
"CloudMusic"
"CMake"
"DBeaver"
"Dependencies_x64_Release"
"Discord"
"draw.io"
"eSpeak"
"ffmpeg"
"Fiji.app"
"foobar2000"
"Free Download Manager"
"gInk_v1.1.1"
"Git"
"GoLand 2024.2.1"
"Google"
"GoogleChromePortable"
"Graphviz"
"HandBrake"
"Inkscape"
"Inno Setup 6"
"IntelliJ IDEA Community Edition 2024.1.2"
"JDownloader"
"JetBrains Rider 2024.2.3"
"JianyingPro"
"JianyingPro Drafts"
"Launch4j"
"LibreCAD"
"maomaoyun"
"Microsoft"
"Microsoft Visual Studio"
"Microsoft VS Code"
"Minikube"
"msys64"
"Natron"
"nodejs"
"Notepad++"
"obs-studio"
"Octave-9.1.0"
"PowerShell"
"Python"
"QQPCMgr"
"R-4.4.0"
"RStudio"
"Sublime Text"
"Thunder Network"
"TIM"
"VLC"
"vscode_extensions"
"WeChat"
"WinCDEmu"
"WinDirStat"
